Contempt,表情1 不屑
GoldenRatio,构图2 黄金分割
Asymmetry,构图2 不对称
Framing,构图2 构框
Depth,构图2 深度
Texture,构图2 纹理
S-shapedcomposition,构图2 S形构图
Symmetricalbody,构图2 对称身体
volumetric light/Volume Method,构图2 体积光
Asymmetrical composition,构图2 非对称构图
Golden Ratio composition,构图2 黄金分割构图
Framing composition,构图2 画框构图
juxtaposition composition,构图2 并列构图
Saturated composition,构图2 饱和构图
Nonlinear composition,构图2 非线性构图
Cut out composition,构图2 剪影构图
Focal point composition,构图2 焦点构图
Overlapping composition,构图3 重叠构图
Collage composition,构图3 拼贴构图
Negativespace composition,构图3 负空问构图
Bird view,构图3 鸟瞰
Headshot,构图3 头部特写
Anexpansive view of,构图3 景观
Flat,细节1 平整的
sleek,细节1 线条流畅的
Soft,细节1 柔和的
Graceful,细节1 线条优美的
Organic,细节1 有机的
Subtle,细节1 细微的
Thin,细节1 细长的
Gentle,细节1 线条流畅且柔和的
Sinuous,细节1 线条弯曲但流畅的
well-detinec,细节1 线条优美且清晰的
Lavered,细节1 有层次感的
Bold,细节1 线条明显而突出的
Carved,细节1 具有雕刻感的
Smooth,细节1 光滑的
Elegant,细节1 线条优美且流畅的
Curvaceous,细节1 曲线优美的
Irregullar,细节1 不规则的
Sharp,细节1 锋利的
Dynamic,细节1 充满动感的
Precise,细节1 精密的
Streamlined,细节2 流线型的
Curved,细节2 弯曲的
Varied,细节2 多样化的
Polished,细节2 光洁的
Slender,细节2 纤细的
Intricate,细节2 线条细致的
Delicately curved,细节2 曲线细腻的
Exquisite,细节2 线条优美且精细的
Textured,细节2 有纹理的
Organic pattern,细节2 纹路自然的
Embossed,细节2 具有浮雕感的
epic detail,细节2 超细节
clear,细节2 清晰的
Fine,细节2 精细的
Soothing,细节2 线条柔和且平滑的
Rough,细节2 粗糙的
Bulky,细节2 粗大的
Angullar,细节2 多棱角的
Uniform,细节2 统一的
Free camera,镜头1 自由视角
Top-down perspective,镜头1 俯视视角
Close-up view,镜头1 短距离视角
Arbitrary view,镜头1 随意视角
Endoscopic view,镜头1 内视镜视角
Fisheyelens,镜头1 鱼眼视角
Reverseangle,镜头1 反转视角
Medium Close-Up(Mcu),镜头1 中中特写
Medium Long Shot(MLS),镜头1 中暴
OvertheShoulderShot,镜头1 过肩景
Tight Shot,镜头1 近距离景
Bokeh,镜头1 风景照
Background,镜头1 前景
Chest Shot(MCU,镜头1 胸部以上
Extra Long Shot(ELS),镜头1 人在远方
bust portrait,镜头1 半身像
Front.Side.Rear View,镜头1 前视、侧视、后视图
Extreme Closeup View,镜头1 极端特写视图
Panoramic view,镜头1 全景视角
Eye-level,镜头1 常规视角
Dutch,镜头2 交错视角
Fixed camera,镜头2 固定视角
Side-scrolling perspective,镜头2 侧面视角
Long-shotview,镜头2 远距离视角
Followcamera,镜头2 跟随视角
Over the shoulder,镜头2 肩膀视角
Macrolens,镜头2 微距视角
Medium Shot(Ms),镜头2 中景
Long Shot(LS),镜头2 远景
Loose Shot(2S),镜头2 松散景
(GS)Scenery Shot,镜头2 群景
Full Length Shot(FLS),镜头2 背景
KneeShot(ks),镜头2 膝盖以上
Big Close-Up(BCu),镜头2 头部以上
TopView,镜头2 顶视園
Tilt-Shift,镜头2 倾斜移位
Product View,镜头2 产品视图
Look Up,镜头2 仰视
Isometric View,镜头2 等等距视图
Backlightstyle,镜头2 逆光摄影风格
Overhead,镜头3 俯拍视角
Bird&apos;s-eye,镜头3 鸟瞰视角
Dvnamic,镜头3 运动视角
Perspective,镜头3 透视视角
Simulated camera,镜头3 模拟摄影机
depth of field blur,镜头3 景深模糊
fisheye lens,镜头3 鱼眼透镜
85mm long lens,镜头3 85mm长透镜
close up portrait,镜头3 特写肖像
24mm wide angle lens,镜头3 24mm广角镜头
wide angle portrait,镜头3 广角人像
70mm telephoto lens,镜头3 70mm长焦镜头
face close up,镜头3 面部特写
14mm wide angle lens,镜头3 14mm广角镜头
panoramic landscape,镜头3 全景景观
far close up,镜头3 远特写
vignette,镜头3 小插曲
high defintion,镜头3 高清晰度
half face close up,镜头3 半脸特写
aerial view,镜头3 鸟瞰图1
birds eye view,镜头4 鸟瞰图2
low angle shot,镜头4 低角度镜头
reference sheet,镜头4 参考资料表
focus sharp,镜头4 聚焦
full body,镜头4 全身
Detail Shot(ECU),镜头4 细节特写
Face Shot (VCU),镜头4 脸部特写
Big Close Up(BCU),镜头4 特写（头部以上）
Close Up(CU),镜头4 特写（颈部以上）
Chest Shot(MCU),镜头4 特写（胸部以上）
Waist Shot(WS),镜头4 特写（腰部以上）
first person view,镜头4 第一人称视角
A bird's eye view,镜头4 鸟瞰图
Top view,镜头4 俯视图
Bottom view,镜头4 仰视图
cinematic shot,镜头4 电影镜头
extreme long shot,镜头4 大远景
long shot,镜头4 远镜头
Mid shot,镜头4 中镜头
extreme close up,镜头4 极端特写
medium close up,镜头5 中等特写
close up,镜头5 特写
scenery shot,镜头5 风景拍摄
satellite view,镜头5 卫星视图
360 panorama,镜头5 360全景
telephoto lens,镜头5 长焦镜头
super wide angle,镜头5 超广角
tilt shift,镜头5 移轴摄影
depth of field (dof),镜头5 景深
microscopic view,镜头5 微观视图
super resolution microscopy,镜头5 超分辨率显微镜
African Elephant,动物1 非洲象
Lion,动物1 狮子
Giant Panda,动物1 大熊猫
Giraffe,动物1 长颈鹿
Tiger,动物1 老虎
Chimpanzee,动物1 黑猩猩
Brown Bear,动物1 棕熊
Rhinoceros,动物1 犀牛
Crocodile,动物1 鳄鱼
Orangutan,动物1 猩猩
Zebra,动物1 斑马
Gorilla,动物1 大猩猩
Polar Bear,动物1 北极熊
Elephant,动物1 大象
American Black Bear,动物1 北美黑熊
Cheetah,动物1 猎豹
Kangaroo,动物1 袋鼠
Ostrich,动物1 辣妹鸵鸟
Hippopotamus,动物1 河马
River Otter,动物1 斑点水獭
Mountain Lion,动物2 美洲狮
Arctic Fox,动物2 北极狐
Leopard,动物2 豹子
Squirrel,动物2 松鼠
Eagle,动物2 老鹰
Mountain Lizard,动物2 山岭巨蜥
Gray Wolf,动物2 北美狼
Ptarmigan,动物2 麻鸡
Leopard cat,动物2 虎斑猫
Black Eagle,动物2 黑鹰
Raccoon,动物2 普通浣熊
Mollusk,动物2 腹足类
Aves,动物2 像鸟类
Stunning Chimpanzee,动物2 辣妹猩猩
Beluga Whale,动物2 白鲸
Impatient Aardwolf,动物2 急性子鬣狗
Northern White-Cheeked Gibbon,动物2 长鼻浣熊
Lizard,动物2 蜥蜴
Owl,动物2 猫头鹰
Otter,动物2 水獭
Yellowfin Tuna,动物3 黄鳍金枪鱼
Uric Acid Crocodile,动物3 尿酸鳄
Chinese Water Deer,动物3 红麂
Long-tailed monkey,动物3 长尾猴
Penguin,动物3 企鹅
Grizzly bear,动物3 灰熊
Triangle whale,动物3 三角鲸
Arctic dog,动物3 北极狗
Bald eagle,动物3 秃鹰
Needle mole,动物3 针鼹鼠
Complex blue-green wing butterfly,动物3 错综壮碧绿翅膀蝴蝶
Screen drum woodpecker,动物3 屏风鼓啄木鸟
Drake,动物3 公鸭
Mountain Yak,动物3 山地牦牛
Red Anteater,动物3 红色食蚁兽
Arctic sable,动物3 北极貂
Reindeer,动物3 梅花鹿
Breeding cattle,动物3 饲育牛
Sea lion,动物3 海狮
Gray ant,动物3 灰蚂蚁
Bighorn Sheep,动物4 大角羊
Spotted Wild Boar,动物4 斑点野猪
Turtle,动物4 乌龟
Deer,动物4 鹿
Bat,动物4 蝙蝠
American Bison,动物4 美洲野牛
Black bear,动物4 黑熊
Sandworm,动物4 沙蚕
Nightmare spider,动物4 梦魇蛛
Crocodile hatchling,动物4 鳄鱼幼崽
Racoon dog,动物4 犀浣熊
Panda,动物4 熊猫
Spotted frog,动物4 斑点青蛙
Dragon,动物4 龙
Siberian Lynx,动物4 猞猁
Leopard Shark,动物4 豹纹鲨
Flatfish,动物4 比目鱼
Beaver,动物4 海狸
Marsupial,动物4 负鼠
V-shaped neuromodulator fish,动物4 V字神经鱼
Jaguar,动物5 花豹
Arctic rabbit,动物5 北极兔
Mountain antelope,动物5 山地斑羚
Sloth,动物5 树懒
Knolling,特效1 平铺效果
a collection of,特效1 集合效果
floorplan,特效1 3D平面图
carving/relief/sculpture,特效1 雕刻效果
isometric,特效1 等距视角
ant,特效1 拟人效果
Benin art/mosaic style,特效1 马赛克拼贴
quilling paper art,特效1 卷纸艺术效果
depth of field,特效1 背景虚化
cinematic lighting,特效1 电影光效
motion blur,特效1 动态模糊
chromatic aberration,特效1 色差
sparkle,特效1 闪耀效果
Jpeg artifacts,特效1 压缩失真
blurry,特效1 模糊的
glowing light,特效1 荧光
god rays,特效1 神圣感顶光
ray tracing,特效1 光线追踪
reflection light,特效1 反射光
dithering,特效1 抖动
hologram,特效2 科幻全息图
x-ray,特效2 X光透视
ascii art,特效2 ASCII码
Fujicolor,特效2 富士色彩
image fill,特效2 图像填充
motion lines,特效2 体现运动的线
optical illusion,特效2 视错觉
multiple monochrome,特效2 多重单色
anaglyph,特效2 互补色
stereogram,特效2 立体画
scanlines,特效2 扫描线
vignetting,特效2 晕影
speed lines,特效2 速度线
silhouette,特效2 剪影
chiaroscuro,特效2 明暗对比
chromatic aberration abuse,特效2 色差滥用
drop shadow,特效2 立绘阴影
film grain,特效2 胶片颗粒感/老电影滤镜
halftone,特效2 半调风格
backlighting,特效2 逆光
blending,特效3 混合
bloom,特效3 盛开
cutaway/a crpss section view,特效3 剖面图/截面图
bioluminescent,特效3 生物发光
made of chrome,特效3 镀铬
splash,特效3 飞溅
Off-shoulder dress ,裙子1 露肩连衣裙
Spaghetti strap dress,裙子1 细肩带裙
Patchwork dress ,裙子1 拼接连衣裙
High-waist dress ,裙子1 高腰裙
Ruffle hem dress,裙子1 荷叶边裙
Lace panel dress,裙子1 拼接蕾丝裙
Trendy dress ,裙子1 流行连衣裙
Fitted dress ,裙子1 修身连衣裙
Loose dress ,裙子1 宽松连衣裙
Lace dress ,裙子1 蕾丝连衣裙
Vintage dress ,裙子1 复古裙
Ruffle sleeve dress,裙子1 荷叶袖连衣裙
Tie waist dress,裙子1 绑带裙
Puff sleeve dress,裙子1 泡泡袖裙
Ruffle edge dress,裙子1 荷叶边连衣裙
Belted dress ,裙子1 收腰连衣裙
Chiffon dress ,裙子1 雪纺连衣裙
Ribbed dress ,裙子1 罗纹裙
Color-block dress ,裙子1 拼色连衣裙
Mini dress ,裙子1 迷你连衣裙
Radiant Star dress,裙子2 璀璨星辰裙
Fairy Dance dress,裙子2 精灵之舞裙
Dreamy Fluffy dress,裙子2 梦幻蓬松裙
Shimmering Fringe dress,裙子2 闪耀流苏裙
Dazzling Rainbow dress,裙子2 绚丽彩虹裙
Iridescent skirt ,裙子2 霞光裙
Moonlight dress ,裙子2 月光裙
Glass skirt ,裙子2 琉璃裙
Snowflake dress ,裙子2 瑞雪裙
Mermaid dress ,裙子2 水精灵裙
Butterfly fairy dress,裙子2 蝴蝶仙裙
Floral dress ,裙子2 花卉连衣裙
Blossom skirt ,裙子2 绽放裙
Fine rain dress,裙子2 细雨连衣裙
Dazzling dress ,裙子2 璀璨连衣裙
Starry Sparkle dress,裙子2 星光闪耀裙
Enchanted Dream dress,裙子2 仙境梦幻裙
Diamond Princess dress,裙子2 钻石公主裙
Neon Night dress,裙子2 霄虹夜晚裙
Crystal Court dress,裙子2 水晶宫廷裙
Fairy dress ,裙子3 仙女裙
Puffy skirt ,裙子3 蓬蓬裙
Princess dress ,裙子3 公主裙
Lace princess dress,裙子3 蕾丝公主裙
Elf dress ,裙子3 精灵裙
Enchanted dress ,裙子3 仙境连衣裙
Crystal dress ,裙子3 水晶裙
Neon skirt ,裙子3 霓虹裙
Flower dress ,裙子3 花裙
Graceful skirt ,裙子3 翩翩裙
Crane dress ,裙子3 仙鹤裙
Starry skirt ,裙子3 星辰裙
Feathered dress ,裙子3 绒羽裙
Cloud skirt ,裙子3 云朵裙
Radiant dress ,裙子3 光芒裙
Shimmering skirt ,裙子3 流光裙
Embroidered dress ,裙子3 绣花连衣裙
Pearl dress ,裙子3 珍珠裙
Silk dress ,裙子3 丝绸裙
Gemstone skirt ,裙子3 宝石裙
Inky black gown,裙子4 墨黑长裙
Enchanting maxi skirt,裙子4 魔法长裙
Strappy gothic dress,裙子4 吊带哥特裙
Black lace skirt,裙子4 黑色蕾丝裙
Dark dress ,裙子4 暗黑连衣裙
Nightshade dress ,裙子4 夜魅连衣裙
Inky flared skirt,裙子4 墨色蓬松裙
Ebon gown ,裙子4 幽冥裙
Dance of Death,裙子4 死亡之舞裙
Dark fairy dress,裙子4 黑暗仙裙
Phantom maxi skirt,裙子4 魅影长裙
Gothic lace skirt,裙子4 暗黑花边裙
Skeleton dress ,裙子4 镂连衣裙
Dark princess dress,裙子4 暗黑公主裙
Shadow lace skirt,裙子4 阴影蕾丝裙
Ghostly gown ,裙子4 幽灵长裙
Gothic-style lace skirt,裙子4 哥特风蕾丝裙
Blood-hued dress ,裙子4 血色连衣裙
Dark countess dress,裙子4 暗黑公爵裙
Graveyard gown ,裙子4 墓地长裙
Sparkling Gemstone dress,裙子5 闪耀宝石裙
Moonlit Crystal dress,裙子5 月光水晶裙
Stardust Fluffy dress,裙子5 星尘绒羽裙
Pearl Fringe dress,裙子5 珍珠流苏裙
Night Splendor dress,裙子5 夜幕璀璨裙
Blue Enchantment dress,裙子5 蓝色仙境裙
Glimmering Starlight dress,裙子5 闪亮星芒裙
Gemstone Lace dress,裙子5 宝石蕾丝裙
Radiant Floral dress,裙子5 流光花裙
Galactic Dream dress,裙子5 星河梦幻裙
Hypnotic Magic dress,裙子5 迷幻魔法裙
Enchanted Neon dress,裙子5 仙境霓虹裙
Sparkling Meteor dress,裙子5 闪耀流星裙
Pearl Crystal dress,裙子5 珍珠水晶裙
Illusion Star dress,裙子5 幻彩星辰裙
Glorious Night Sky,裙子5 璨烂夜空裙
Dreamy Sheer dress,裙子5 梦幻薄纱裙
Gleaming Neon dress,裙子5 闪光霓虹裙
Phantom Feather dress,裙子5 幻影羽毛裙
Starry Fairy dress,裙子5 星空仙女裙
Magical Fireworks dress,裙子6 魔法烟花裙
Mini skirt ,裙子6 短裙
Midi skirt ,裙子6 中裙
Maxi skirt ,裙子6 长裙
Skirt  ,裙子6 半身裙
Sheer skirt ,裙子6 半透明裙
Pencil skirt ,裙子6 铅笔裙
Slit skirt ,裙子6 开叉裙
Tassel skirt ,裙子6 流苏裙
Bubble skirt ,裙子6 花苞裙
Accordion pleat skirt,裙子6 褶皱裙
Denim skirt ,裙子6 牛仔裙
Mermaid skirt ,裙子6 鱼尾裙
Cutout dress ,裙子6 镂空裙
Wide-leg pants skirt,裙子6 阔腿裙
Tulle skirt ,裙子6 网纱裙
Straight skirt ,裙子6 直筒裙
Symmetrical skirt ,裙子6 对称裙
Bodycon dress ,裙子6 修身裙
Micro skirt ,裙子6 超短裙
Leg-baring skirt ,裙子6 露腿裙
Party dress ,裙子7 派对裙
Lace trim dress,裙子7 花边连衣裙
Belted skirt ,裙子7 腰带裙
Sheer dress ,裙子7 半透明连衣裙
Vintage pencil skirt,裙子7 复古半身裙
Bodycon skirt ,裙子7 包臀裙
Patchwork skirt ,裙子7 拼接半身裙
Train skirt ,裙子7 带尾裙
Ethnic dress ,裙子7 民族风连衣裙
High-slit skirt ,裙子7 高衩裙
Polka dot dress,裙子7 波点裙
Loose lace dress,裙子7 宽松蕾丝裙
Wedding dress ,裙子7 婚纱裙
Layered skirt ,裙子7 层叠裙
Bow-tie dress ,裙子7 带领结连衣裙
Shiny dress ,裙子7 闪亮连衣裙
Fitted pencil skirt,裙子7 修身半身裙
Jumpsuit dress ,裙子7 连体裙
classroom,室内1 教室
bedroom,室内1 卧室
bathroom,室内1 浴室场景
bathtub,室内1 浴缸
kitchen,室内1 厨房
library,室内1 图书馆
stage,室内1 舞台
locker room,室内1 更衣室
office,室内1 办公室
gym storeroom,室内1 体育器材库房
gym,室内1 健身房
messy room,室内1 杂乱的房间
infirmary,室内1 医务室
fitting room,室内1 试衣间
dungeon,室内1 地牢
closet,室内1 壁橱
toilet stall,室内1 厕所隔间
laboratory,室内1 实验室
prison cell,室内1 牢房
living room,室内1 客厅
hotel room,室内2 旅馆房间
otaku room,室内2 御宅房
courtroom,室内2 法庭
storage room,室内2 储存室
cubicle,室内2 隔间
cafeteria,室内2 自助餐厅
conservatory,室内2 温室
workshop,室内2 创意工坊
clubroom,室内2 社团活动室
dining room,室内2 家里的餐厅
armory,室内2 军械库
staff room,室内2 职员休息室
shower,室内2 淋浴
city,户外1 城市
road,户外1 路
field,户外1 田野
bridge,户外1 桥
poolside,户外1 泳池边
street,户外1 街道
path,户外1 小径
town,户外1 城镇
railroad tracks,户外1 铁轨
alley,户外1 胡同/小巷
graveyard,户外1 墓地
garden,户外1 花园
crosswalk,户外1 人行横道
ferris wheel,户外1 摩天轮
fountain,户外1 喷泉
pier,户外1 码头
sidewalk,户外1 人行道
village,户外1 村庄
railroad crossing,户外1 铁路道口
rice paddy,户外1 稻田
carousel,户外2 旋转木马
rural,户外2 田园
market stall,户外2 市场摊位
amusement park,户外2 游乐园
tunnel,户外2 隧道
running track,户外2 运行轨道
wheat field,户外2 麦田
canal,户外2 运河
harbor,户外2 港口
market,户外2 市场
stone walkway,户外2 石制人行道
well,户外2 出色地
phone booth,户外2 电话亭
roller coaster,户外2 过山车
dirt road,户外2 泥路
highway,户外2 高速公路
runway,户外2 跑道
wooden bridge,户外2 木桥
floating city,户外2 浮动城堡
soccer field,户外2 足球场
waterpark,户外3 水上乐园
trench,户外3 战壕
shipyard,户外3 船厂
zoo,户外3 动物园
aqueduct,户外3 渡槽
rope bridge,户外3 绳桥
dam,户外3 大坝
jetty,户外3 码头/栈桥
airfield,户外3 飞机场
drydock,户外3 旱坞
paper lantern,户外3 灯笼
water,户外3 水
ocean,户外3 大海
beach,户外3 海滩
nature,户外3 大自然
forest,户外3 森林/树
mountain,户外3 山
river,户外3 河流
flower field,户外3 花田
waterfall,户外3 瀑布
lake,户外4 湖
shore,户外4 海边
bamboo forest,户外4 竹林
hill,户外4 山丘
desert,户外4 沙漠
cliff,户外4 悬崖
cave,户外4 洞穴
pond,户外4 池塘
stream,户外4 溪流
park,户外4 公园
island,户外4 岛
floating island,户外4 浮岛
jungle,户外4 丛林
volcano,户外4 火山
meadow,户外4 草甸
playground,户外4 游乐场
canyon,户外4 峡谷
wetland,户外4 湿地
savannah,户外4 稀树草原
parking lot,户外4 停车场
ocean bottom,户外5 海底
wasteland,户外5 荒地
plain,户外5 平原
oasis,户外5 绿洲
glacier,户外5 冰川
onsen,建筑1 温泉
pool,建筑1 水池
ruins,建筑1 废墟
house,建筑1 房子
castle,建筑1 城堡
skyscraper,建筑1 摩天大楼
tower,建筑1 塔
school,建筑1 学校竞赛泳衣
shop,建筑1 商店
shrine,建筑1 神社
rooftop,建筑1 屋顶
restaurant,建筑1 餐厅
church,建筑1 教堂
train station,建筑1 火车站
cafe,建筑1 咖啡厅
stadium,建筑1 体育场
clock tower,建筑1 钟楼
bus stop,建筑1 公交车站
aquarium,建筑1 水族馆
convenience store,建筑1 便利店
lighthouse,建筑2 灯塔
windmill,建筑2 风车
pagoda,建筑2 宝塔
hospital,建筑2 医院
apartment,建筑2 公寓
temple,建筑2 寺庙
prison,建筑2 监狱
casino,建筑2 赌场
hangar,建筑2 机库
arcade,建筑2 室内购物中心
movie theater,建筑2 电影院
bakery,建筑2 面包店
factory,建筑2 工厂
supermarket,建筑2 超市
gazebo,建筑2 凉亭
tavern,建筑2 酒馆
treehouse,建筑2 树屋
industrial,建筑2 重工业
barn,建筑2 谷仓
garage,建筑2 车库
warehouse,建筑3 仓库
hut,建筑3 小屋
nightclub,建筑3 夜店
arena,建筑3 竞技场
theater,建筑3 剧院
megastructure,建筑3 巨型结构
bookstore,建筑3 书店
mall,建筑3 购物中心
convention,建筑3 售卖现场
construction site,建筑3 施工现场
flower shop,建筑3 花店
museum,建筑3 博物馆
gas station,建筑3 加油站
hotel,建筑3 酒店
izakaya,建筑3 居酒屋
skating rink,建筑3 滑冰场
space elevator,建筑3 轨道电梯
planetarium,建筑3 天文馆
bowling alley,建筑3 保龄球馆
military base,建筑3 军事基地
observatory,建筑4 天文台
stilt house,建筑4 高跷屋
art gallery,建筑4 美术馆
weapon shop,建筑4 武器商店
bunker,建筑4 掩体/地堡
control tower,建筑4 控制塔
cooling tower,建筑4 冷却塔
minaret,建筑4 宣礼塔
pharmacy,建筑4 药店
nuclear powerplant,建筑4 核电厂
refinery,建筑4 精炼厂
mosque,建筑4 清真寺
powerplant,建筑4 发电厂
salon,建筑4 沙龙
guard tower,建筑4 守卫塔
amphitheater,建筑4 音乐剧院
bar,建筑4 酒吧
building,建筑4 建筑
cityscape,建筑4 城市风景
neon lights,建筑4 霓虹灯
fences,建筑5 栏杆
best quality,正向1 最佳品质
Amazing,正向1 令人震惊
masterpiece,正向1 杰作
delicate,正向1 精致
ultra high res,正向1 超高分辨率
ultra detailed,正向1 超详细
highly detailed,正向1 高度详细
intricate detail,正向1 复杂的细节
beautiful detailed,正向1 美丽的细节
finely detailed,正向1 精细的细节
8k resolution,正向1 8K分辨率
professional lighting,正向1 专业照明
physically based rendering,正向1 基于物理的渲染
cool,正向1 炫酷
good balance,正向1 平衡性好
Camcorder Effect,正向1 摄像机的效果
symmetrical face,正向1 对称的脸
((no text)),正向1 无文本
(rim lighting),正向1 边缘照明
professional photography,正向1 专业摄影
sharp focus,正向2 锐利的焦点
(extremely detailed CG unity 8k wallpaper),正向2 8KUCG壁纸
photo realistic,正向2 逼真照片
realistic model,正向2 逼真的模型
photorealistic,正向2 写实1.4
Realistic art,正向2 写实艺术
RAW photo,正向2 原始照片1.4
low quality,反向1 低质量
worst quality,反向1 最差质量
lowers,反向1 降低
lowres,反向1 低分辨率
out of focus,反向1 失焦
error,反向1 错误
easynegative,反向1 易负
signature,反向1 签名
artist name,反向1 艺术家姓名
watermark,反向1 水印
backlight:2,反向1 背光
wood,反向1 木材
wood texture,反向1 木材纹理
bad anatomy,反向1 身体结构错误
bad proportions,反向1 比例不良
grayscale,反向1 灰度
monochrome,反向1 单色
extra ears,反向1 多耳朵
fewer fingers,反向1 少手指
extra fingers,反向1 多手指
missing fingers,反向2 手指缺失
mutated hands,反向2 变异的手
extra hands,反向2 额外的手
fused fingers,反向2 融合的手
poorly drawn hands,反向2 画的不好的手
poorly drawn face,反向2 画的不好的脸
poorly drawn eyes,反向2 画的不好的眼睛
extra legs,反向2 额外的腿
extra arms,反向2 额外的手臂
extra limbs,反向2 额外的四肢
malformed limbs,反向2 畸形的四肢
malformed hands,反向2 畸形的手
ugly face,反向2 丑陋的脸
ugly,反向2 丑陋
bad hands,反向2 坏手
bad legs,反向2 坏腿
bad knees,反向2 坏膝盖
bad neck,反向2 坏脖子
skin spot,反向2 皮肤斑
age spot,反向2 老年斑
acnes,反向3 痤疮
teeth,反向3 牙齿
cross eyed,反向3 斗鸡眼
skin blemishes,反向3 皮肤瑕疵
freckle,反向3 雀斑
mutation,反向3 突变
deformed,反向3 变形
duplicate,反向3 重复
morbid,反向3 病态
mutilated,反向3 残缺
tranny,反向3 变性
disfigured,反向3 毁容
unclear eyes,反向3 眼睛不清楚
bad body,反向3 不好的身体
missing limb,反向3 肢体缺失
extra limb,反向3 额外的肢体
floating limbs,反向3 漂浮的肢体
disconnected limbs,反向3 四肢断开
long neck,反向3 长脖子
long body,反向3 长身体
multiple shoulders,反向4 多肩膀
feet out of view,反向4 脚在视线外
head out of view,反向4 头在视线外
uncensored,反向4 未经审查
nude,反向4 裸体
topless,反向4 裸照
nsfw,反向4 不适合上班浏览
Unreal engine,渲染器 虚幻引擎
Rendered in octane,渲染器 OCtane渲染
Corona Render,渲染器 Corona渲染
