Hyper Real,主题1超真实
front braid,发型11前辫
crew cut,发型11平头/板寸头
cloud hair,发型11云絮状发型
mizura,发型11角发
shouten pegasus mix mori,发型11昇天ペガサスMIX盛り
comb over,发型11遮盖头发稀少部分
chonmage,发型12丁髷
triple bun,发型12三发髻
huge afro,发型12超大鸟窝头
quin tails,发型12有五股辫子
hair bikini,发型12头发比基尼 超长的头发遮盖了敏感部位
side swept bangs,发型12朝一个方向的刘海
hair one side up,发型12一侧绑发
hair two side up,发型12双侧绑发
side bun,发型12披在两侧的发髻
okappa,发型12河童头
auburn,颜色1赤褐色
blonde,颜色1金发女郎
brown,颜色1棕色的
chestnut,颜色1栗树
copper,颜色1铜
dark blonde,颜色1深色金发
dark brown,颜色1深棕色
dark red,颜色1暗红色
gray,颜色1灰色
light blonde,颜色1浅金色
light brown,颜色1浅棕色
medium blonde,颜色1中等金发
medium brown,颜色1中等棕色
natural blonde,颜色1天生的金发
platinum blonde,颜色1白金色
silver,颜色1银
ginger,颜色1姜黄
Unreal engine,渲染器1虚幻引擎
Rendered in octane,渲染器1以octane渲染
Corona Render,渲染器1Corona渲染
V Ray,渲染器1V Ray
UE5,渲染器1UE5
UE4,渲染器1UE4
octane render,渲染器1octane渲染
architectural visualisation/Architectural rendering,渲染器1建筑渲染
Quixel Megascans Render,渲染器1真实感渲染
best quality,正向1最佳品质
Amazing,正向1令人震惊
masterpiece,正向1杰作
delicate,正向1精致
ultra high res,正向1超高分辨率
ultra detailed,正向1超详细
highly detailed,正向1高度详细
intricate detail,正向1复杂的细节
beautiful detailed,正向1美丽的细节
finely detailed,正向1精细的细节
8K,正向18K
8k resolution,正向18K分辨率
professional lighting,正向1专业照明
physically based rendering,正向1基于物理的渲染
cool,正向1炫酷
good balance,正向1平衡性好
Camcorder Effect,正向1摄像机的效果
symmetrical face,正向1对称的脸
((no text)),正向1无文本
(rim lighting),正向1边缘照明
professional photography,正向2专业摄影
sharp focus,正向2锐利的焦点
(extremely detailed CG unity 8k wallpaper),正向28KUCG壁纸
photo realistic,正向2逼真照片
realistic model,正向2逼真的模型
photorealistic,正向2写实1.4
Realistic art,正向2写实艺术
RAW photo,正向2原始照片1.4
HDR,正向2HDR
low quality,反向1低质量
worst quality,反向1最差质量
lowers,反向1降低
lowres,反向1低分辨率
blurry,反向1模糊
out of focus,反向1失焦
error,反向1错误
easynegative,反向1易负
signature,反向1签名
artist name,反向1艺术家姓名
watermark,反向1水印
backlight:2,反向1背光
wood,反向1木材
wood texture,反向1木材纹理
watermark logo,反向1水印,徽标
bad anatomy,反向1身体结构错误
bad proportions,反向1比例不良
grayscale,反向1灰度
monochrome,反向1单色
extra ears,反向1多耳朵
fewer fingers,反向2少手指
extra fingers,反向2多手指
missing fingers,反向2手指缺失
mutated hands,反向2变异的手
extra hands,反向2额外的手
fused fingers,反向2融合的手
poorly drawn hands,反向2画的不好的手
poorly drawn face,反向2画的不好的脸
poorly drawn eyes,反向2画的不好的眼睛
extra legs,反向2额外的腿
extra arms,反向2额外的手臂
extra limbs,反向2额外的四肢
malformed limbs,反向2畸形的四肢
malformed hands,反向2畸形的手
ugly face,反向2丑陋的脸
ugly,反向2丑陋
bad hands,反向2坏手
bad legs,反向2坏腿
bad knees,反向2坏膝盖
bad neck,反向2坏脖子
skin spot,反向3皮肤斑
age spot,反向3老年斑
acnes,反向3痤疮
teeth,反向3牙齿
cross eyed,反向3斗鸡眼
skin blemishes,反向3皮肤瑕疵
freckle,反向3雀斑
mutation,反向3突变
deformed,反向3变形
duplicate,反向3重复
morbid,反向3病态
mutilated,反向3残缺
tranny,反向3变性
disfigured,反向3毁容
unclear eyes,反向3眼睛不清楚
bad body,反向3不好的身体
missing limb,反向3肢体缺失
extra limb,反向3额外的肢体
floating limbs,反向3漂浮的肢体
disconnected limbs,反向3四肢断开
long neck,反向4长脖子
long body,反向4长身体
multiple shoulders,反向4多肩膀
feet out of view,反向4脚在视线外
head out of view,反向4头在视线外
uncensored,反向4未经审查
nude,反向4裸体
nude, naked,反向4裸体
topless,反向4裸照
nsfw,反向4不适合上班浏览
dress,衣服1连衣裙
underwear,衣服1内衣
school uniform,衣服1学校制服
swimsuit,衣服1泳装
bikini,衣服1比基尼
frills,衣服1皱边
japanese clothes,衣服1和服
serafuku,衣服1水手服
striped,衣服1横条花纹
kimono,衣服1和服
white dress,衣服1白色连衣裙
uniform,衣服1制服
black dress,衣服1黑连衣裙
leotard,衣服1體操服
see through,衣服1透明装
torn clothes,衣服1破烂衣服
one piece swimsuit,衣服1一体式泳衣
bodysuit,衣服1紧身衣
military uniform,衣服1军服
sleeveless dress,衣服1无袖连衣裙
blue dress,衣服2蓝连衣裙
plaid skirt,衣服2格子呢短裙
chinese clothes,衣服2中国服饰(极大概率是旗袍)
obi,衣服2衣带(和服用)
short dress,衣服2短裙
formal,衣服2正装
red dress,衣服2红连衣裙
school swimsuit,衣服2学校泳衣
lingerie,衣服2女用贴身内衣裤
frilled dress,衣服2花边连衣裙
polka dot,衣服2点状花纹
suit,衣服2西装
pink dress,衣服2粉连衣裙
waist apron,衣服2腰围裙
china dress,衣服2旗袍
lace,衣服2蕾丝
strapless dress,衣服2无肩带连衣裙
corset,衣服2紧身褡
micro bikini,衣服2迷你比基尼
purple dress,衣服2紫连衣裙
side slit,衣服3侧开叉
highleg leotard,衣服3高开衩的连身衣
pencil skirt,衣服3短铅笔裙
sailor dress,衣服3水手服款裙子
santa costume,衣服3圣诞老人服装
gym uniform,衣服3运动服
lolita fashion,衣服3洛丽塔风格
green dress,衣服3绿色连衣裙
competition swimsuit,衣服3赛用泳衣
yukata,衣服3浴衣
pajamas,衣服3睡衣
wedding dress,衣服3婚纱
backless outfit,衣服3露背装
off shoulder dress,衣服3露肩连衣裙
long dress,衣服3长裙
bandeau,衣服3抹胸比基尼
microskirt,衣服3超短裙
collared dress,衣服3有领连衣裙
armored dress,衣服3战甲裙
suspender skirt,衣服3吊带裙
sundress,衣服4太阳裙/背心裙
pinafore dress,衣服4背心裙/无袖连衣裙
bikini under clothes,衣服4比基尼当内衣
brown dress,衣服4棕色连衣裙
pleated dress,衣服4百褶连衣裙
grey dress,衣服4灰色连衣裙
bikini skirt,衣服4比基尼裙
highleg bikini,衣服4高开衩的比基尼
layered dress,衣服4分层连衣裙
short kimono,衣服4短下摆和服
layered skirt,衣服4分层式半身裙
yellow dress,衣服4黄色连衣裙
open kimono,衣服4敞开的和服
backless dress,衣服4露背连衣裙
slingshot swimsuit,衣服4弹弓泳衣/吊带泳衣/V字泳衣
striped dress,衣服4条纹连衣裙
bikini armor,衣服4比基尼盔甲
babydoll,衣服4透明睡衣
two tone dress,衣服4双色连衣裙
sweater dress,衣服4毛衣连衣裙
casual one piece swimsuit,衣服5连体泳衣
untied bikini,衣服5解开的比基尼
sailor senshi uniform,衣服5美少女战士制服
latex,衣服5胶衣
multi strapped bikini,衣服5细带款比基尼
multicolored dress,衣服5多色连衣裙
nightgown,衣服5睡衣
police uniform,衣服5警服
competition school swimsuit,衣服5竞泳死库水
dougi,衣服5武道服
thong bikini,衣服5丁字式比基尼
halter dress,衣服5绕颈裙/衬衣式连衣裙/露背吊带裙
lowleg bikini,衣服5低腰比基尼
fur trimmed dress,衣服5毛边连衣裙
sailor,衣服5水手服
business suit,衣服5职场制服
torn dress,衣服5撕破的连衣裙
orange dress,衣服5橙色连衣裙
bikini lift,衣服5往上剥开的比基尼
strapless bikini,衣服5无肩带比基尼
print dress,衣服6印花裙子
maid bikini,衣服6女仆比基尼
meiji schoolgirl uniform,衣服6明治年间女学生制服
kindergarten uniform,衣服6幼儿园制服
gothic,衣服6哥特风格
reverse bunnysuit,衣服6逆兔女郎
plaid dress,衣服6格子连衣裙
sailor bikini,衣服6水手服款比基尼
layered bikini,衣服6分层比基尼
letterman jacket,衣服6棒球服
vertical striped dress,衣服6垂直条纹连衣裙
bodysuit under clothes,衣服6紧身衣裤
ribbed dress,衣服6罗纹连衣裙
negligee,衣服6晨衣
eyepatch bikini,衣服6眼罩比基尼
evening gown,衣服6晚会礼服
bow bikini,衣服6带蝴蝶结的比基尼
lace trimmed dress,衣服6蕾丝连衣裙
clothes down,衣服6褪下衣物
gown,衣服6女裙/女长服/女礼服
impossible bodysuit,衣服7人体彩绘般的紧身衣
harem outfit,衣服7舞娘服
sports bikini,衣服7运动比基尼
hanfu,衣服7汉服
volleyball uniform,衣服7排球服
aqua dress,衣服7水色连衣裙
impossible dress,衣服7不切实际的连衣裙
straitjacket,衣服7拘束服
see through dress,衣服7透明连衣裙
baseball uniform,衣服7棒球服
polka dot dress,衣服7圆点花纹连衣裙
biker clothes,衣服7自行车运动服
pencil dress,衣服7铅笔裙
bondage outfit,衣服7束缚服
taut dress,衣服7绷紧的连衣裙
santa dress,衣服7圣诞老人风格的裙子
dirndl,衣服7酒馆服务员服装
kimono skirt,衣服7和服裙
cocktail dress,衣服7燕尾短裙
athletic leotard,衣服7体操服
living clothes,衣服8活体衣服
bikesuit,衣服8骑行套装
uchikake,衣服8白无垢/日式嫁衣
ribbon trimmed dress,衣服8色带装饰的连衣裙
shell bikini,衣服8贝壳比基尼
loungewear,衣服8休闲服
virgin killer outfit,衣服8处男杀手服
skirt basket,衣服8裙子篮兜
dress basket,衣服8dress carry
wet dress,衣服8潮湿的衣服
cute & girly (idolmaster),衣服8Cute & Girly (偶像大师)
tube dress,衣服8抹胸连衣裙
tutu,衣服8芭蕾舞裙
vietnamese dress,衣服8越南连衣裙
checkered dress,衣服8方格花纹连衣裙
stile uniform,衣服8女侍从的制服
varia suit,衣服8强化服
front zipper swimsuit,衣服8拉链在正面的泳衣
funeral dress,衣服8丧服
coat dress,衣服8外套连衣裙
pinstripe dress,衣服9细条纹连衣裙
argyle dress,衣服9钻石图案的裙子
high low skirt,衣服9高低裙
latex dress,衣服9乳胶裙
dress flip,衣服9飘起的裙子
highleg dress,衣服9高叉长裙
dress grab,衣服9抓住裙子
crinoline,衣服9裙撑/裙架
mermaid dress,衣服9鱼尾裙
tennis dress,衣服9网球连衣裙
denim dress,衣服9牛仔连衣裙
hobble dress,衣服9乳胶连衣裙
half dress,衣服9半开裙
flag dress,衣服9国旗连衣裙
cake dress,衣服9形似蛋糕的连衣裙
trapeze dress,衣服9梯形连衣裙
sepia dress,衣服9红棕色连衣裙
santa,衣服9圣诞装
side tie bikini,衣服9系带式比基尼
western,衣服9西部风格
tartan,衣服10格子花纹
sheath dress,衣服10包臀裙
pettiskirt,衣服10蓬蓬裙
organza lace,衣服10透明硬纱/蕾丝花边
bikini aside,衣服10从三点剥开的比基尼
front tie bikini,衣服10从正面打结的比基尼
playboy bunny leotard,衣服10兔女郎连身衣
holding,动作1拿着
sitting,动作1坐着
standing,动作1站立的
lying,动作1躺着
spread legs,动作1张腿
on back,动作1仰躺
armpits,动作1举手露腋
clothes lift,动作1掀起衣物
arm up,动作1单抬臂
arms up,动作1双抬臂
head tilt,动作1歪着头
hand on hip,动作1单手插腰
kneeling,动作1下跪
v,动作1胜利手势
leaning forward,动作1身体前驱
holding hands,动作1牵手
arm support,动作1用手支撑住
on side,动作1侧卧
wariza,动作1割坐
grabbing,动作1抓住/抓着
arms behind back,动作2手放在身后
clothes pull,动作2拉开衣物
skirt lift,动作2掀起裙子
crossed arms,动作2交叉双臂
leg up,动作2抬起腿
squatting,动作2蹲下
standing on one leg,动作2单腿站立
crossed legs,动作2二郎腿
outstretched arms,动作2伸出双臂
own hands together,动作2双手合十
undressing,动作2脱衣服中
bent over,动作2翘臀姿势
straddling,动作2跨坐
on stomach,动作2趴着
outstretched arm,动作2伸出单臂
lifted by self,动作2掀起自己的衣物
pointing,动作2用手指着
all fours,动作2四肢趴地
hand on own chest,动作2把手放在自己的胸口
clenched hand,动作2握紧的手
arms behind head,动作3手臂放头后
index finger raised,动作3食指抬起
seiza,动作3正坐
hand on own face,动作3把手放在自己脸上
clenched hands,动作3紧握的双手
dress lift,动作3掀起裙子
legs up,动作3抬两只脚
dual wielding,动作3双持
walking,动作3走路
legs apart,动作3两腿分开
hand on another's head,动作3手放在对方的头上
hands on hips,动作3双手叉腰
running,动作3奔跑
head rest,动作3枕着头/托着头
paw pose,动作3爪子姿势
hand in pocket,动作3手插在口袋里
hand between legs,动作3手放在两腿之间
jumping,动作3跳跃
outstretched hand,动作3伸出手
fighting stance,动作3战斗姿态
waving,动作4招手
hands in pockets,动作4双手插在兜里
top down bottom,动作4趴着翘臀
sitting on person,动作4坐在人身上
adjusting hair,动作4理头发
spread arms,动作4张开双臂
arms at sides,动作4双手垂放
double v,动作4双手比 V
arched back,动作4弓身体
yokozuwari,动作4侧身坐
leg lift,动作4抬一只脚
hand on own cheek,动作4把手放在自己的脸颊上
hand on headwear,动作4手触碰帽子
back to back,动作4背靠背
hand on another's shoulder,动作4手放在对方的肩上
leaning back,动作4身体往后靠
holding flower,动作4拿着花
arm grab,动作4抓住手臂
adjusting eyewear,动作4扶眼镜
salute,动作4敬礼
hand to own mouth,动作5手朝向自己嘴
hugging own legs,动作5抱腿
claw pose,动作5举爪姿势
indian style,动作5盘腿
own hands clasped,动作5握住自己的双手
hands on own face,动作5双手放在自己的脸上
heart hands,动作5双手比心
stretching,动作5伸懒腰
hand on another's face,动作5手接触到对方的脸
hand on own head,动作5手放在自己头上
princess carry,动作5公主抱
one knee,动作5单膝跪
w,动作5手指比 W
open hand,动作5张开的手
thumbs up,动作5翘大拇指
skirt pull,动作5拉开裙子
bikini pull,动作5扯着比基尼
hand on own knee,动作5手放在自己的膝盖上
split,动作5分开
folded,动作5抬腿露阴
sheet grab,动作6抓着床单
sitting on lap,动作6坐在大腿上
pointing at viewer,动作6指向看图的人
tying hair,动作6扎头发
feeding,动作6喂食
\m/,动作66+1 手势
pinky out,动作6伸出小拇指
reclining,动作6斜倒斜躺姿势
leaning to the side,动作6向一侧倾斜身体
yawning,动作6打哈欠
twisted torso,动作6躯干夸张地扭曲
standing split,动作6站立劈叉/站立高抬腿
hand on own stomach,动作6把手放在自己的肚子上
hand on own ass,动作6把手放在自己的臀部
holding eyewear,动作6拿着眼镜/正在摘眼镜
reaching,动作6伸手触及
armpit peek,动作6微微露出腋窝
fox shadow puppet,动作6狐狸手势
convenient leg,动作6挡住关键部位的腿
knees to chest,动作6膝盖顶到胸部
shushing,动作7嘘手势
grabbing another's hair,动作7抓着对方的头发
holding strap,动作7手拉着吊带
hands on own knees,动作7双手放在自己的膝盖上
hand on another's cheek,动作7手摸着对方的脸颊
hand on another's chin,动作7手托着对方的下巴
pointing up,动作7向上指
v over eye,动作7在眼边比剪刀手
the pose,动作7趴在地上并翘起脚
pointing at self,动作7指着自己
arm hug,动作7挽手
leaning,动作7倚靠/身体倾斜
hair tucking,动作7撩头发
steepled fingers,动作7指尖抵着指间
middle finger,动作7比出中指
open dress,动作7分开裙子
finger gun,动作7手枪手势
upright straddle,动作7对坐体位
hair twirling,动作7手指卷着头发
hands on another's face,动作7双手放在别人的脸上
arms around neck,动作8双手搂着脖子
watson cross,动作8双腿交叉站姿
fetal position,动作8曲腿至胸
hand in panties,动作8手伸进内裤里
hand on another's chest,动作8手放在对方的胸前
zombie pose,动作8僵尸姿势
crossed ankles,动作8交叉脚踝
lifted by another,动作8被对方掀起衣物
arm held back,动作8手臂往后拉
arm around neck,动作8手臂环绕脖子
rubbing eyes,动作8揉眼睛
convenient arm,动作8遮住关键部位的手臂
holding arrow,动作8拉着弓
shading eyes,动作8遮阳手势
carrying over shoulder,动作8肩扛
spread fingers,动作8张开手指
bunny pose,动作8兔耳 pose
heart hands duo,动作8两个人一起用手比心
head back,动作8弓背高潮
ok sign,动作8OK手势
shared food,动作9共享食物/用嘴递食物
holding syringe,动作9手持注射器
mimikaki,动作9采耳
through clothes,动作9隔着衣物爱抚
dress tug,动作9拉下连衣裙下摆
\||/,动作9手掌贴墙
beckoning,动作9招手
holding whip,动作9握着鞭子
cuddling,动作9拥抱
bowing,动作9鞠躬
presenting armpit,动作9展示腋窝
heart tail,动作9心形尾巴/心形尾尖/尾巴摆出心形
hand on another's stomach,动作9手放在对方的肚子上
curtsey,动作9(女子的)屈膝礼
raised fist,动作9举起的拳头
carrying under arm,动作9夹在腋下
glomp,动作9热情的拥抱/扑上来抱住
talking on phone,动作9打电话
cupping hands,动作9用手比作杯子
hands on feet,动作9双手放在脚上
balancing,动作10(保持)平衡的姿势
hat tip,动作10捏着帽檐
hand on own shoulder,动作10手放在自己的肩上
kimono pull,动作10剥开和服
stroking own chin,动作10扶颏冥想
fingering through clothes,动作10手指隔着衣物摸来摸去
hands on ass,动作10双手放在屁股上
legs over head,动作10双腿抬过头
adjusting legwear,动作10整理裤袜
head down,动作10低着头
necktie grab,动作10抓着领带
outstretched leg,动作10腿部伸展
hair flip,动作10拨头发
belly grab,动作10捏着肚子
drying hair,动作10弄干头发
akanbe,动作10拉下眼睑的鬼脸
dress removed,动作10脱下裙子
hand on own neck,动作10把手放在自己的脖子上
hand on another's neck,动作10手放在他人的脖子上
kimono lift,动作10掀起和服
\n/,动作11摇滚手势
handstand,动作11用手倒立
bunching hair,动作11手持辫子
adjusting panties,动作11拨内裤
shoujo kitou chuu,动作11少女祈祷中
prostration,动作11失意体前屈/Orz
butterfly sitting,动作11蝴蝶坐
crawling,动作11爬行
fidgeting,动作11紧张手势
tying,动作11打结(动作)
fist bump,动作11碰拳
flapping,动作11拍打动作
shrugging,动作11耸肩
toe point,动作11趾尖/脚尖
two finger salute,动作11二指敬禮
cowering,动作11抱头
finger frame,动作11用手指作相框
high five,动作11击掌庆祝
pointing forward,动作11指向前方
hand on another's hand,动作11手放在对方的手上
thumbs down,动作12大拇指向下
presenting panties,动作12展示内裤
kissing neck,动作12亲吻脖子
hand on own forehead,动作12手放在自己前额
caramelldansen,动作12焦糖舞
kuji in,动作12九字印
faceplant,动作12脸贴地面
saturday night fever,动作12叉腰向上指 (舞蹈)
finger heart,动作12双指比心
hand on ear,动作12手放在耳朵上
v over mouth,动作12手指比 V 放在手上
tsuki ni kawatte oshioki yo,动作12代表月亮消灭你
crucifixion,动作12磔
thigh straddling,动作12大腿跨骑
neck biting,动作12咬脖子
pointing down,动作12指向下方
pinky swear,动作12勾指起誓
victory pose,动作12胜利手势
smelling flower,动作12闻花
money gesture,动作12金钱手势
yoga,动作13瑜伽
fist in hand,动作13抱拳
power fist,动作13力量手套
slouching,动作13伛
battoujutsu stance,动作13拔刀起手式
middle w,动作133 手势
convenient head,动作13挡住关键部位的头
fig sign,动作13Fig 手势
vulcan salute,动作13瓦肯举手礼
figure four sitting,动作13二郎腿
crossed fingers,动作13手指交错
horns pose,动作13用手比作角
shadow puppet,动作13用手模仿其他物件/皮影戏
carry me,动作13抱着我手势
superhero landing,动作13三点着地
heart tail duo,动作13两人尾巴摆出心形
inward v,动作13反向比 V
palm fist greeting,动作13拱手礼
lotus position,动作13结跏趺坐
kamina pose,动作13抬高手臂向上指
heart arms,动作14手臂摆出心的姿势
air guitar,动作14空气吉他
headstand,动作14用头倒立
pigeon pose,动作14鸽子姿势
palm fist tap,动作14拳头拍手掌/有主意了
noogie,动作14双拳挤头
chest stand,动作14用胸支撑身体
shaka sign,动作14沙卡手势
necking,动作14缩颈
finger counting,动作14用手指比数字
hand glasses,动作14用手比作眼镜
wallwalking,动作14走在墙顶上
air quotes,动作14引号手势
heart hands trio,动作14三个人用手比心
shocker (gesture),动作14爽歪歪 (手势)
slit throat (gesture),动作14割喉手势
scorpion pose,动作14蝎子姿势
full scorpion,动作14头扑倒在地
ohikaenasutte,动作14要求自我介绍
orchid fingers,动作14兰花指
arms crossed,动作15手交叉于胸前
hands on another's breast,动作15手放在另一人的胸前
palm,动作15以手掩面
hand in hair,动作15手埋在头发里
hand on another's,动作15手接触到对方的脸
humpbacked,动作15驼背
animal ears,耳朵1动物耳朵
earrings,耳朵1耳环
pointy ears,耳朵1尖耳
cat ears,耳朵1猫耳
rabbit ears,耳朵1兔子耳朵
fox ears,耳朵1狐狸耳朵
fake animal ears,耳朵1仿制的动物耳朵
wolf ears,耳朵1狼耳朵
horse ears,耳朵1马耳
dog ears,耳朵1狗耳
kemonomimi mode,耳朵1兽耳萝莉模式
hoop earrings,耳朵1环状耳环
mouse ears,耳朵1老鼠耳朵
cow ears,耳朵1牛耳朵
raccoon ears,耳朵1浣熊耳朵
tiger ears,耳朵1虎耳
lion ears,耳朵1狮子耳朵
heart earrings,耳朵1心形耳环
bear ears,耳朵1熊耳朵
squirrel ears,耳朵1松鼠耳朵
sheep ears,耳朵2羊耳
crescent earrings,耳朵2月牙耳环
cat ear headphones,耳朵2猫耳式耳机
long pointy ears,耳朵2尖尖的长耳朵
deer ears,耳朵2鹿耳朵
panda ears,耳朵2熊猫耳朵
monkey ears,耳朵2猴耳
goat ears,耳朵2山羊耳朵
bat ears,耳朵2蝙蝠耳朵
crystal earrings,耳朵2水晶耳环
pig ears,耳朵2猪耳朵
covering ears,耳朵2遮住耳朵
pikachu ears,耳朵2皮卡丘耳朵
ferret ears,耳朵2鼬耳朵
1girl,人物11 个女人
solo,人物1单人
1boy,人物11 个男人
2girls,人物12 个女人
glasses,人物1眼镜/眼镜娘
2boys,人物12 个男人
chibi,人物1Q 版通常将头的比例在全图中加大，以营造可爱效果。
yuri,人物1百合
maid,人物1女仆
loli,人物1萝莉
no humans,人物1无人
siblings,人物1兄弟姐妹
magical girl,人物1魔法少女
demon girl,人物1魅魔
cat girl,人物1猫娘
sisters,人物1姐妹
elf,人物1妖精
fox girl,人物1狐娘
horse girl,人物1马娘
child,人物1儿童
bara,人物2大叔
yaoi,人物2搞基
furry,人物2兽人
crossdressing,人物2伪娘
monster,人物2怪物
minigirl,人物2迷你女孩
ghost,人物2幽灵
twins,人物2双胞胎
dragon girl,人物2龙娘
miko,人物2巫女
doll,人物2人偶
brother and sister,人物2姐弟/兄妹
gothic lolita,人物2哥特萝莉
shota,人物2正太
dog girl,人物2犬娘
angel,人物2天使
wolf girl,人物2狼女孩
witch,人物2女巫/魔女
waitress,人物2女服务员
cheerleader,人物2啦啦队
nun,人物3修女
nurse,人物3护士
ninja,人物3忍者/日本武士
mecha musume,人物3机娘
fairy,人物3小精灵
office lady,人物3办公室女职员
vampire,人物3吸血鬼
mother and daughter,人物3母女
mermaid,人物3美人鱼
idol,人物3偶像
yukkuri shiteitte ne,人物3油库里馒头样人物，东方系列
cow girl,人物3牛娘
gyaru,人物3辣妹
giantess,人物3女巨人
police,人物3警察
race queen,人物3赛车女郎
female pervert,人物3痴女
kitsune,人物3妖狐
dark elf,人物3暗精灵
oppai loli,人物3巨乳萝莉
husband and wife,人物4夫妻
mother and son,人物4母子
policewoman,人物4女警
dancer,人物4舞者
raccoon girl,人物4浣熊娘
kyuubi,人物4九尾|九尾狐
kogal,人物4小辣妹
wa maid,人物4和风女仆
orc,人物4半兽人
princess,人物4公主
teenage,人物4青少年
spider girl,人物4蜘蛛娘
harem,人物4后宫
butler,人物4管家
voyakiloid,人物4弱音(歌手)
cousins,人物4表亲
centaur,人物4人马
priest,人物4牧师
goblin,人物4哥布林
doctor,人物4医生
angel and devil,人物5天使与恶魔
ballerina,人物5芭蕾舞女演员
k/da (league of legends),人物5KDA组合(英雄联盟)
sailor senshi,人物5美少女战士
valkyrie,人物5女武神
wa lolita,人物5和风萝莉
long neck,人物5长脖子
kyuudou,人物5弓道
chef,人物5厨师
kirisame marisa cosplay,人物5cos成雾雨魔理沙
imp,人物5小恶魔
devil,人物5魔鬼（撒旦）
female,人物5女人
male,人物5男人
milf,人物5熟女
adolescent,人物5青春期的
bunny girl,人物5兔娘/兔女郎
goddess,人物5女神
gym leader,人物5体操队队长
blush,表情1脸红的
smile,表情1微笑
open mouth,表情1张口
blue eyes,表情1蓝眼
red eyes,表情1红眼
brown eyes,表情1棕眼
closed mouth,表情1闭嘴
green eyes,表情1绿眼
purple eyes,表情1紫眼
closed eyes,表情1闭上眼睛
yellow eyes,表情1金眼
:d,表情1咧嘴笑
parted lips,表情1嘴唇微张
one eye closed,表情1一只眼睛闭着
teeth,表情1牙
tongue,表情1舌头
fang,表情1虎牙
tears,表情1眼泪
tongue out,表情1吐舌头
pink eyes,表情1粉红色的眼睛
grin,表情2露齿而笑
:o,表情2惊讶
black eyes,表情2黑眼
aqua eyes,表情2吐舌鬼脸
lips,表情2嘴唇
v shaped eyebrows,表情2眉毛皱成V形(表高傲或愤怒)
orange eyes,表情2橙色的眼镜
grey eyes,表情2灰眼
symbol shaped pupils,表情2符号眼
eyelashes,表情2睫毛
saliva,表情2唾液
makeup,表情2浓装
:3,表情2猫嘴
nose blush,表情2害羞
facial hair,表情2胡子
heterochromia,表情2异色瞳
frown,表情2皱眉/蹙额
embarrassed,表情2尴尬的
fangs,表情2尖牙
upper teeth,表情2露出上排牙齿
mouth hold,表情3嘴咬住
blush stickers,表情3表情贴纸
expressionless,表情3无口
heart shaped pupils,表情3爱心形瞳孔
wavy mouth,表情3薯片嘴型
half closed eyes,表情3眼睛半闭
happy,表情3快乐/幸福
trembling,表情3颤抖
eyes visible through hair,表情3透过头发可以看到的眼睛
;d,表情3单眼咧嘴笑
crying,表情3哭
light smile,表情3浅笑
lipstick,表情3口红/唇膏
slit pupils,表情3竖瞳孔/猫眼
^^^,表情3惊讶的
clenched teeth,表情3咬牙
surprised,表情3惊讶
drooling,表情3流口水
covering,表情3挡住脸
glowing eyes,表情3发光的双眼
anger vein,表情4青筋
angry,表情4生气的
bright pupils,表情4明亮的瞳孔
:p,表情4右下吐舌头
tareme,表情4下垂的眼睛
tsurime,表情4吊眼角
forehead,表情4额头
skin fang,表情4把嘴的一部分画成虎牙状
heavy breathing,表情4喘粗气
tearing up,表情4要哭的表情
naughty face,表情4下流的表情
:q,表情4右上吐舌头
empty eyes,表情4眼睛没有亮点
crying with eyes open,表情4睁着眼落泪
jitome,表情4轻蔑的眼神
light blush,表情4淡淡的腮红
o o,表情4发呆
+ +,表情4加号型眼
serious,表情4严肃的
smirk,表情4傻笑/得意的笑
@ @,表情5晕眼
wide eyed,表情5睁开眼睛
full face blush,表情5整张脸泛红
glint,表情5眼中闪现强烈的情感
pout,表情5努嘴
multicolored eyes,表情5多色的黑眼睛
raised eyebrows,表情5挑眉
covering mouth,表情5挡住嘴巴
furrowed brow,表情5下眉毛
licking lips,表情5舔嘴唇
wince,表情5闭一只眼
black sclera,表情5黑色巩膜
dot nose,表情5小圆点鼻
eyeball,表情5盯着看
ahegao,表情5阿嘿颜
food on face,表情5食物在脸上
saliva trail,表情5唾液拉丝
no nose,表情5没有鼻子
red lips,表情5朱唇
smug,表情5得意脸
eyeliner,表情6眼线
>:),表情6嘲笑
bags under eyes,表情6眼袋
laughing,表情6在笑的
star shaped pupils,表情6星形眼睛
drunk,表情6喝醉的
fang out,表情6露出虎牙/露出尖牙
nosebleed,表情6鼻血
evil smile,表情6坏笑
scared,表情6害怕的
glowing eye,表情6发光的眼睛(单眼)
annoyed,表情6苦恼的
ringed eyes,表情6眼圈
face to face,表情6脸贴脸
sad,表情6悲伤的
white eyes,表情6白眼
constricted pupils,表情6瞳孔收缩
no pupils,表情6没有眼睛
rolling eyes,表情6眼睛抬头
:/,表情6斜嘴
torogao,表情7淫荡的表情
sleepy,表情7困乏的
seductive smile,表情7诱人的微笑
nervous,表情7不安的
blank eyes,表情7白眼球
expressions,表情7表情
ear blush,表情7耳红
split mouth,表情7裂开的嘴
:|,表情7无语
sparkling eyes,表情7星星眼
facing another,表情7二人面对面(脸贴得很近)
covering face,表情7挡住脸
yandere,表情7病娇
sanpaku,表情7三白眼
moaning,表情7呻吟
solid circle eyes,表情7实心圆眼睛
turn pale,表情7脸色苍白
glaring,表情7轻蔑/怒视
yellow sclera,表情7黄色巩膜
